text,question,answer,title

"<s>[INST] In the context of the real estate market, what is the average price of detached homes? [/INST] The average price of detached homes is $1,200,000. </s>",what is the average price of detached homes?,"The average price of detached homes is $1,200,000.",the real estate market

"<s>[INST] In the context of types of properties available, what options are there for residential buyers? [/INST] Residential buyers have options such as detached houses, semi-detached houses, townhouses, and condos. </s>",what options are there for residential buyers?,"Residential buyers have options such as detached houses, semi-detached houses, townhouses, and condos.",types of properties available

"<s>[INST] In the context of real estate trends, what is the current state of property values? [/INST] There is a steady growth in property values. </s>",what is the current state of property values?,There is a steady growth in property values.,real estate trends

"<s>[INST] In the context of investment opportunities, what is the demand for rental properties? [/INST] There is a high demand for rental properties. </s>",what is the demand for rental properties?,There is a high demand for rental properties.,investment opportunities

"<s>[INST] In the context of notable neighborhoods, what is Bolton known for? [/INST] Bolton is known for its family-friendly environment and good schools. </s>",what is Bolton known for?,Bolton is known for its family-friendly environment and good schools.,notable neighborhoods

"<s>[INST] In the context of tips for buyers and sellers, what should buyers do in a competitive market? [/INST] Buyers should act quickly due to the competitive market. </s>",what should buyers do in a competitive market?,Buyers should act quickly due to the competitive market.,tips for buyers and sellers

"<s>[INST] In the context of recent developments, what is happening in Caledon? [/INST] New residential communities are being developed in Bolton, and there are infrastructure improvements to support the growing population. </s>",what is happening in Caledon?,"New residential communities are being developed in Bolton, and there are infrastructure improvements to support the growing population.",recent developments

"<s>[INST] In the context of average home prices, what is the price of semi-detached homes in Cambridge? [/INST] The average price of semi-detached homes in Cambridge is $650,000. </s>",what is the price of semi-detached homes in Cambridge?,"The average price of semi-detached homes in Cambridge is $650,000.",average home prices

"<s>[INST] In the context of types of properties available, what commercial properties are available in Cambridge? [/INST] Commercial properties available in Cambridge include office spaces and retail spaces. </s>",what commercial properties are available in Cambridge?,Commercial properties available in Cambridge include office spaces and retail spaces.,types of properties available

"<s>[INST] In the context of real estate trends, what is driving demand in Cambridge? [/INST] The tech industry growth is driving demand in Cambridge. </s>",what is driving demand in Cambridge?,The tech industry growth is driving demand in Cambridge.,real estate trends

"<s>[INST] In the context of investment opportunities, what is the potential in Cambridge? [/INST] There is potential in commercial real estate and a growing rental market. </s>",what is the potential in Cambridge?,There is potential in commercial real estate and a growing rental market.,investment opportunities

"<s>[INST] In the context of notable neighborhoods, what is Galt known for? [/INST] Galt is a historic area with beautiful architecture. </s>",what is Galt known for?,Galt is a historic area with beautiful architecture.,notable neighborhoods

"<s>[INST] In the context of tips for buyers and sellers, what should sellers do in Cambridge? [/INST] Sellers should highlight proximity to tech hubs. </s>",what should sellers do in Cambridge?,Sellers should highlight proximity to tech hubs.,tips for buyers and sellers

"<s>[INST] In the context of recent developments, what is happening in Cambridge? [/INST] New tech companies are setting up offices, and there are revitalization projects in downtown areas. </s>",what is happening in Cambridge?,"New tech companies are setting up offices, and there are revitalization projects in downtown areas.",recent developments

"<s>[INST] In the context of average home prices, what is the price of townhouses in Carleton Place? [/INST] The average price of townhouses in Carleton Place is $350,000. </s>",what is the price of townhouses in Carleton Place?,"The average price of townhouses in Carleton Place is $350,000.",average home prices

"<s>[INST] In the context of types of properties available, what residential properties are available in Carleton Place? [/INST] Residential properties available in Carleton Place include detached houses, semi-detached houses, townhouses, and condos. </s>",what residential properties are available in Carleton Place?,"Residential properties available in Carleton Place include detached houses, semi-detached houses, townhouses, and condos.",types of properties available

